keywords,organization_name,website,mission_description,population_focus,time_commitment,cost,languages_courses,address,city,state,zip,locations,leadership_contact,title,email,phone_number,when_founded
"Adult learning, in-person, bootcamps, web development",Launch Academy,http://www.launchacademy.co,"Launch Academy is an immersive, 10-week, on location training program that graduates and places junior web developers specialized in Ruby on Rails. Participants learn web development and build real software under the guidance of established software developers. Participants can leverage mentors and fellow students to accelerate their learning in a dynamic learning environment. Lauch Academy also provides a structured, post graduation support program in the form of in-person office hours and virtual consultations.",Various skill levels,10 weeks + 6-week interactive pre-learning requirement,"Tuition is $10,000 if paid up front or $12,500 if you choose 12-month payment plan. If a company makes you an offer and you accept it, you get up to a $5,000 Signing Bonus.","Ruby on Rails, full-stack",,,,,"Cambridge, MA",,,hello@launchacademy.co,,2012
"Youth learning, events, fellowship, game, hackathons, mentors, network, leadership, entrepreneurship, underrepresented",Leaders on the Fast Track,http://loftinnovation.org/,"The LOFT Innovation track is a part of the LOFT Institute which, preps, connects and places young leaders as they transition from high school, to college and graduate school, and well into their careers.  Through LOFT, students and young professionals participate in more than 30 LOFT events including leadership trainings, field-tailored symposia and workshops including STEM (science, technology, engineering, math), finance, entrepreneurship, public policy, education, entertainment, media and social innovation among other priority fields.The LOFT Innovation Track identifies, prepares, and places talented under-represented minorities (URMs), who are technically skilled, in the workforce. The Innovation Track provides computer coding boot-camps, online coding classes, networking, and mentorship, STEM seminars and events, and hack-a-thons. ", Under-represented minorities who are students and young professionals,,,,"Nuevo South
180 E 35th Street",Los Angeles,CA,90011,"Los Angeles, CA",Antonio Tijerino,CEO & President,info@loftinstitute.org; Antonio@hispanicheritage.org,(202) 861-9797,
ebook,Learn Code the Hard Way,http://learncodethehardway.org/,"Learn Code the Hard Way is a series of free e-books that teach Python, Ruby, C, Sql, and Regex.  You can also pay for the available video & PDF versions of the books.  ",,Self-paced,Free,"Python, Ruby, C, SQL, and Regex",,,,,N/A,,,help@learncodethehardway.org,,
"Adult learning, online",Learn How to Program Perl,http://learnhowtoprogramperl.info/,"Learn How to Program Perl is an online system that helps you write your own computer programs in a self-paced, practical, and understandable manner. Participants are taken through a series of tutorials that will show you how to program using Perl.  Website was created by a high school student.",Beginners,Self-paced,Free,Perl,,,,,N/A,Chris Kildegaard,,,,
"Online learning, mentors, resources","Learn Prime, a program of thoughtbot",https://learn.thoughtbot.com/prime,"Learn Prime provides access to thoughtbot online trainings, mentors, and other resources for learning Ruby on Rails. thoughtbot is a consulting firm that provides coding support to organizations, incubates start-ups, and provides training and mentoring to coding students.  thoughtbot provides the apprentice.io program, online & in-person workshops, books, and screencasts.",Various skill levels,Self-paced,"Prime with Mentoring — $249/month, Prime Workshops — $99/month, Prime Basic — $29/month","Ruby, Ruby on Rails, Design, Vim, Testing, JavaScript, iOS, Web Design, Git, Sass, HTML & CSS, Refactoring, Heroku, UNIX, Typography, tmux, CSS Grids, Visual Principles, RubyMotion, SQL",,,,,N/A,,,learn@thoughtbot.com,(877) 976-2687,
"Adult learning, online, web development, mobile",LearnHowToProgram.com,http://www.learnhowtoprogram.com/,"LearnHowToProgram.com is a step-by-step guide to take you from zero to web programmer, and it's the entire curriculum and course content for Epicodus. The first chapters are prep materials for class, and the later chapters are the course curriculum. Of course, you're welcome to go through the entire site on your own if you wish.",Various skill levels,Self-paced,Free,"HTML, CSS, JavaScript, jQuery, Ruby, Rails, AJAX, Ember.js",,,,,N/A,Michael Kaiser-Nyman,,michael@epicodus.com,,2013
"Youth learning, adult learning, workshops, underrepresented, teacher development, Hispanic, high school",Learning Computer Science through the Lens of Culture and Society (LCS)2,http://sites.google.com/site/chcs4hs2012/,"Learning Computer Science through the Lens of Culture and Society, (LCS)2, is a project that seeks to increase the participation of Hispanic/Latino(a) high school students in computer science. The project involves a one-week workshop for high school students and a two-day workshop for high school STEM teachers in the Inland Empire. The workshops will involve computing activities that are closely tied to societal and cultural issues. The week-long student workshop will introduce students to the computer science discipline through hands-on, engaging activities involving Android mobile app development and Alice 3D programming, provide support to bilingual and English language learners throughout learning activities, provide resources on higher education opportunities and possible educational pathways in computer science, provide mentors and role models who share with students insights and support on pursuing higher education and careers in computer science, and involve teachers, parents, and community members in supporting Hispanic/Latino(a) high school students to explore computer science. The workshop will culminate in a final showcase and celebratory dinner in which students present their finished projects to their families and community members. Participants are responsible for providing their own transportation.  Lunch and refreshments will be provided daily.","High school Hispanic/Latino(a) students, high school STEM teachers","1 week workshop for students, 2-day workshop for teachers",Free,"Alice, Android",11711 Sand Canyon Road,Yucaipa,CA,92399,"Yucaipa, CA",Margaret Yau,"Assistant Professor, Computer Information Systems",myau@craftonhills.edu,(909) 389-3521,
"Adult learning, online, teacher resources, platform",LearnStreet,http://www.learnstreet.com/,LearnStreet is an early-stage startup focused on changing the way people of all backgrounds and skill levels learn how to code.  They provide free online courses.,Various skill levels,Self-paced,Free,"JavaScript, Python, Ruby",1121 San Antonio Road,Palo Alto,CA,94043,"Palo Alto, CA",,,hello@learnstreet.com,(650) 331-1167,2012
"Adult learning, online, certification, web development, mobile, game development",LearnToProgram.tv,http://learntoprogram.tv/,"Learntoprogram helps people train to be web, mobile, or game developers using online courses designed for beginners, seasoned experts and everyone in between.",Various skill levels,Self-paced,"Free, paid premium courses","Actionscript, Ajax, Android, HTML/CSS, JavaScript, C/C++/Objective C, HTML/CSS, jQuery, game development, etc.","27 Hartford Turnpike
Suite 206",Vernon,CT,06066,N/A,Mark Lassoff,Founder,contact@learntoprogram.tv,,2011
"Adult learning, online, web development",LearnWebCode,http://learnwebcode.com/,LearnWebCode is a free online resource to teach web development using videos and tutorials.,Anyone,Self-paced,Free,"HTML, CSS",,,,,N/A,,,,,
"Youth learning, software/app, video game",LightBot (iOS/Android),http://light-bot.com/,"Light-bot is a puzzle game whose core game mechanics are programming. Players must use simple visual commands, instead of words and syntax, to guide a robot to complete levels. 

The original light-bot has been used by hundreds of teachers worldwide to introduce their kids to computer science. ",Ages 4+,Self-paced,$2.99,LightBot,,,,,N/A,,,,,
"Adult learning, bootcamps, internship",Lighthouse Labs,http://www.lighthouselabs.ca/,"Lighthouse Labs is an immersive coding school in Vancouver that focuses on modern open source web frameworks and tools. The Lighthouse curriculum covers JavaScript, HTML/CSS, software architecture, Ruby on Rails, responsive design, test driven development, Node.js, and popular APIs. Lighthouse Labs offers an 8-week immersive bootcamp followed by a 4-week internship with on of their partner companies.",Adults,8-week bootcamp + 4-week internship,$9000 + goods and service tax,"Ruby on Rails, JavaScript, HTML/CSS, APIs, Software architecture, responsive design, test driven development, Angular & Node.js",300 - 128 W. Hastings ,Vancouver,BC,V6B 1G8,,,,enrollment@lighthouselabs.ca,,
"Adult learning, teacher development, project-based learning",Logo Summer Institute,www.logofoundation.org/summer,"Logo Summer Institute (nonprofit) provides workshops for teachers, parents, and technology integrators emphasizing learning through designing and building personally meaningful projects that support computational thinking. Experience this process yourself, and explore how to implement design-based learning with your students.",Teachers (so they can teach their students),5 days,$950,"Scratch, robotics","250 West 85th Street, Suite 4D",New York,NY,10024,"New York, NY",Michael Tempel,,michaelt@media.mit.edu,(212) 579-8028,
"Software, online community",Looking Glass,https://lookingglass.wustl.edu/,"Looking Glass is an application and an online community dedicated to creating and sharing animated stories, while learning to program computers.  Looking Glass is a free download for Windows, Mac OS X, and Linux. The latest version of Looking Glass was released on February 20, 2013.",Youth,N/A,Free,Looking Glass,,,,,N/A,,,lookingglasshelp@seas.wustl.edu,,
"Online learning, multi-subject",Lynda.com,http://www.lynda.com/,"lynda.com is an online learning company that helps anyone learn software, design, and business skills to achieve their personal and professional goals. ",Various skill levels,Self-paced,$25/month,"Various, including coding languages",6410 Via Real,Carpinteria,CA,93013,N/A,,,,(888) 33L-YNDA,1995
"Adult learning, in-person, bootcamps, full-time, web development, London",Makers Academy,http://www.makersacademy.com/,"Makers Academy is a highly-selective, 12 week full-time program that teaches web development. The program accepts only the top applicants onto the course for a rigorous program that culminates with graduation (AKA hiring) day where graduates are introduced to London's top technology companies looking to hire entry-level developers.",Various skill levels,12 weeks,"Tuition: £8,000
Payment plans avaliable. £ 500 Scholarship if you're a female","Ruby on Rails, HTML5 & CSS, Agile & Lean, JavaScript & jQuery, Git & Heroku, software design","Floor 4 
Epworth House 
25 City Rd. ",London EC1Y 1AA ,UK,,"London, United Kingdom",,,contact@makersacademy.com,,
"Adult learning, online, bootcamps, pilot, web development, London",Makers Academy Global,http://global.makersacademy.com/,"Makers Academy Global is a pilot program that uses the same curriculum, the same highly selective process and the same intensity (about 50 hours per week) as the Makers Academy London Course, but you can study in the comfort of your own home.",Various skill levels,12 weeks,"£5,000 - $8000; £ 500 Scholarship if you're a female","Ruby on Rails, HTML5 & CSS, Agile & Lean, JavaScript & jQuery, Git & Heroku, software design","Floor 4 
Epworth House 
25 City Rd. ",London EC1Y 1AA ,UK,,N/A,Evgeny Shadchnev,Founder,global@makersacademy.com,,
"Youth learning, girls, middle school, in-person, summer, Saturday, game development, mobile, AspireIT","Making a Difference: Girls, Technology, and Social Change ",https://www.ncwit.org/programs-campaigns/aspirations-computing/aspireit-2013-programs,"Making a Difference: Girls, Technology, and Social Change is a Saturday summer program that will bring a group of girls on a journey to create a game or app, with the main objective being to find local refuge centers for lost or unwanted pets. Leader Aimee Jasso – graduate of a Microsoft Certified High School, with certifications in Microsoft and CompTIA – has designed a program that will empower middle school girls with the gender- supportive environment she wishes she’d had as a high school student. The program will focus on teaching Scratch, Globaloria, and App Inventor.",Middle school girls,,,"Scratch, Globaloria, and App Inventor",,,,,"Naples, FL",Tracey Lanham,"Advisor, Hodges University",TLanham@Hodges.edu,(239) 938-7779,
"Youth learning, in-person, workshops, robotics, programming, math",Math Plus Academy,http://www.mathplusacademy.com/,"Math Plus Academy is an after-school academic enrichment program. Students come to MPA to master mathematical thinking, gain the confidence to solve difficult problems & get inspired to do great things. Classes include Elementary math, Middle school math (pre-algebra, algebra, geometry), LEGO Robotics, LEGO Engineering, LEGO League, Computer Programming, Math Olympiad Training, and Chess Club.",Programming classes for ages 9-15,Varies,,"Scratch, Python",9681 Sawmill Road,Powell,OH,43065,"Powell, OH",,,powell@mathplusacademy.com,(614) 792-6284,2008
"Youth learning, high school, coding, summer, camps, in-person, project-based",Mathematica Summer Camp,http://mathematica-camp.org/,"The Mathematica Summer Camp is an intensive 12-day program geared toward advanced science, technology, and mathematics students entering grades 11 and 12. Students will learn Mathematica programming skills and higher math through projects and lectures. The camp combines hands-on training with Wolfram Research employees and instructors, peer collaboration, expert speakers on topics of interest, and individual exploration. Homework and individual projects will be assigned based on programming skill and subject interest.",High school,Two-weeks (overnight),"$1,700",Wolfram Language,,,,,"Boston, MA",,,admin@mathematica-camp.org,,2012
"Youth learning, in-person, game development, mobile, camps, youth founders",Menlo App Academy,http://www.menloappacademy.com/,"Menlo App Academy teaches kids about programming. All classes are designed for kids who have no prior programming experience.  The Menlo App Academy was started in November of 2011 by two middle school students, Max Colbert and Matt Dillabough. The Menlo App Academy is focused on helping kids learn about technology. They teach boys and girls between the ages of 9 and 18 years old how to program mobile apps. The courses at Menlo App Academy are taught by Max Colbert and Matt Dillabough. Their fathers, a local VC and an IT executive, provide a second level of technical support to participants of the program.",Ages 9-18,Varies,Fee per course,Corona/Lua,,,,,"Atherton, CA",,,Info@MenloAppAcademy.com,,2011
"Adult learning, in-person, bootcamps",Metis,http://www.thisismetis.com/,"Metis provides intensive courses teaching job-ready skills for the new economy. Their first course is a 12-week web development bootcamp on-site in Boston. Apply to Metis if you are ready to get your hands dirty by learning new technologies, solving real-life problems, and making products. 

Metis believes that the combination of collaboration and practice leads to better learning. Metis offers comprehensive courses in digital practices, designed to teach the skills needed to succeed in an increasingly digital world. Classes focus on real-world problems; work is hands-on, team-driven, and led by digital experts and industry leaders. Over the course of an intensive Metis class, students gain a fundamental understanding of the digital space that will enable them to begin, change, or improve their careers.

Our upcoming bootcamp was created and is taught by thoughtbot, one of the world’s leading Ruby on Rails consulting firms. They've designed or developed apps for organizations like LevelUp (the world's largest mobile payment network) and EdX (a non-profit that brings higher education to more than 1 million students of all ages around the world).",Adults,12-week bootcamp,"$12,500 for bootcamp",Ruby on Rails,395 Hudson Street,New York,NY,10014,"Boston, MA","Jason Moss, Bernardo Rodriguez",Co-Founders,info@thisismetis.com,,2013
Youth learning,Mission Bit,http://www.missionbit.com/,"Mission Bit is a non-profit that offers free programming classes taught by experienced engineers and entrepreneurs to San Francisco public school students. No prior experience required.

They give students the opportunity to learn directly from successful engineers and entrepreneurs who enjoy sharing knowledge and want to give back to the community. They're focused on project based learning and aim to teach both core computer science concepts as well as the practical skills and technologies that are required to build web sites and applications today. They partner with the public school system, Out of Site, and Jamestown Community Center to provide elective credit to students that counts towards their graduation.",SF public school students. No experience necessary.,Varies,Free,,,,,,"San Francisco, CA",,,info@missionbit.com ,,2013
"Adult learning, in-person, bootcamps, mobile",Mobile Makers Academy,http://www.mobilemakers.co,"Mobile Makers is an intensive training and professional transformation program. Using a classroom-free, optimized curriculum, facilitated by industry professionals, full-time participants become full-time mobile developers. At Mobile Makers, you get instruction through a curated set of videos, tutorials, and practice exercises. ",Various skill levels,"8 weeks + 30-hour intro curriculum using online videos, tutorials and targeted exercises","$7,000",iOS,223 W. Erie Street,Chicago,IL,60654,Chicago,Brandon Passley; Don Bora,Founder & Chief Maker; Founder & Chief Facilitator,hello@mobilemakers.co,,2012
"Adult learning, women, pilot",Mother Coders,www.mothercoders.org,"Mother Coders is a new nonprofit program designed to help moms on-ramp to careers in the tech + innovation economy. Their mission is to on-ramp moms to technical careers because their participation is essential to sustainable economic growth in a dynamic tech and innovation driven economy. They will provide saturday classes, childcare, and industry overview, introducation to computer programming, networking, and career counseling.",Adult mothers,,$150 for pilot program,,,,,,"San Francisco, CA",Tina Lee,"CEO, Founder",info@mothercoders.org,,2013
"Youth learning, in-person, school-based, clubs, network, workforce development, robotics, game development, web development, IT, underrepresented, youth development, certification",MOUSE,"http://www.mouse.org/, http://www.mousesquad.org/","MOUSE (nonprofit) empowers underserved youth to learn, lead and create with technology, preparing them with skills essential for their academic and career success. The MOUSE Squad program trains and supports students to be the digital media and technology experts in their schools. MOUSE Squad provides specialist curriculum and hands-on events to give youth opportunities to deepen their skills and interests in tech innovation, including robotics, game design and web-making. There are 492 Mouse Squads so far, with lots of support and appealing challenges from the central organization. MOUSE Corps is a youth-centered design and technology program that develops emerging leadership, professional and technical skills of high school students from MOUSE Squads across NYC.",Underserved youth,,,,"50 West 23rd Street, Suite 702",New York,NY,10010,"New York, California, Illinois, Texas",Daniel Rabuzzi,Executive Director,"info@mouse.org, help@mousesquad.org",(212) 920-3665,1997; MOUSE Squad program - 2000
"Youth learning, software/app, video game",Move the Turtle (iOS),http://movetheturtle.com/,"With Move the Turtle, a friendly Turtle will introduce your child step by step to the basic concepts of programming in the graphic environment.",Ages 5+,Self-paced,$2.99,Move the Turtle,,,,,N/A,,,,,
"Adult learning, online, web development, mobile, wiki",Mozilla Developer Network,https://developer.mozilla.org/en-US/learn,The Mozilla Developer Network (MDN) is a wiki where anyone can add and edit content.  The site has a compilation of resources to teach basic web and mobile development.,Various skill levels,Self-paced,Free,"HTML, CSS, JavaScript",,,,,N/A,,,,,
"Adult learning, youth learning, online, tool, web editor",Mozilla Thimble,https://thimble.webmaker.org/,"Thimble is an intuitive visual editor that lets you write and edit HTML right in your browser, preview and correct your work, and then publish and share fully functional web pages with a single click. Thimble removes many of the barriers for novice users trying to learn code, and includes a series of starter projects and templates to help anyone get started quickly.",N/A,Self-paced,Free,N/A,,,,,N/A,,,,,
ebook,My Kid Can Code,http://mykidcancode.com/,Book,Ages 6-9,Self-paced,,,,,,,N/A,Javid Jamae,,support@mykidcancode.com,,2011
"Adult learning, in-person, bootcamps, apprenticeship, web development, software development",Nashville Software School,http://nashvillesoftwareschool.com/,Nashville Software School (nonprofit) will help you prepare for a job as a entry-level or junior software developer - even if you have no prior technical training or experience. Their Bootcamp program is designed to take you from novice to developer in six months of intensive training and mentoring followed by real project work as an apprentice programmer.,Targeting locals to Nashville to home grow developers in Nashville.  ,6 months,"$1,000 for students with no training/experience. FREE tuition with paid stipend during the 12 weeks of the Software Development Foundations class. Stipend continues if get apprentice developer job with a partner company. Limited full scholarships for minority and disadvantaged students. May also to arrange for appropriate computing equipment for students. (Upon graduation, if students hired by partner company, partner company pays a placement fee. If student goes to a non-partner tech company, student can have payment plan to repay program costs.)","Full-stack; 2 courses: web development, software development; html, css, JS, Ruby on Rails,","Nashville Business Incubation Center, 315 Tenth Avenue North",Nashville,TN,,"Nashville, TN",Peter Brumm,CTO & Co-founder,nashsoftwareinfo@gmail.com,,2012
"Adult learning, women, IT, network, advocacy",National Center for Women in IT (NCWIT),http://www.ncwit.org,"NCWIT is a community of more than 300 prominent corporations, academic institutions, government agencies, and non-profits working to increase women's participation in information technology (IT). 

NCWIT believes that inspiring more women to choose careers in IT means a larger and more competitive workforce, with the ability to design technology that is as broad and creative as the people it serves.",Women,,,,"NCWIT
University of Colorado
Campus Box 322 UCB",Boulder,CO,80309,"Boulder, CO",Ruthe Farmer; Malia Fredrickson,Director of Strategic Initiatives; Awards Program Manager,info@ncwit.org,,2004
"Youth, award, network",NCWIT Aspirations in Computing Award,http://www.aspirationsaward.org,"The NCWIT Award for Aspirations in Computing honors young women at the high-school level for their computing-related achievements and interests. Awardees are selected for their computing and IT aptitude, leadership ability, academic history, and plans for post-secondary education. The NCWIT Award for Aspirations in Computing offers both a national and local ""affiliate"" competitions to generate support and visibility for women's participation in communities nationwide. This program is connected to NCWIT's AspireIT Program which helps these winners start coding programs for middle school girls.",Young women,,,,"NCWIT
University of Colorado
Campus Box 322 UCB",Boulder,CO,80309,"Boulder, CO",Ruthe Farmer,Director of Strategic Initiatives,aspirations@ncwit.org,(303) 735-6671,2007
"Youth, girls, award, college, scholarship, teacher award",NCWIT Aspirations in Computing Talent Development Initiative,http://www.ncwit.org/programs-campaigns/aspirations-computing,"Aspirations in Computing is a talent development initiative designed to increase female participation in technology careers by providing encouragement, visibility, community, leadership opportunities, scholarships, and internships to aspiring technically inclined young women.  Since 2007, NCWIT has inducted more than 2,500 young women into the Aspirations in Computing community and is helping to usher these women into technology careers.",High school girls,,,,,,,,"Boulder, CO",Ruthe Farmer; Malia Fredrickson,Director of Strategic Initiatives; Awards Program Manager, aspirations@ncwit.org,,
"Adult learning, online, web development",net tuts+,http://net.tutsplus.com/,"Nettuts+ is a site aimed at web developers and designers offering tutorials and articles on technologies, skills and techniques to improve how you design and build websites. The site covers HTML, CSS, Javascript, CMS’s, PHP and Ruby on Rails. If you want to take your web development learning further, visit Tuts+ Premium – their online education platform for web developers and designers.",,,Free; Tuts+ Premium costs $19/month or $180/year,"HTML, CSS, JavaScript, CMS’s, PHP and Ruby on Rails.",,,,,N/A,,,,,2008
"Adult learning, in-person, online, open source",New Circle,https://thenewcircle.com/,"New Circle is a training company focused on open source development. They offer a wide array of training classes and are a world-class, experienced group of instructors who have taught at some of the biggest technology companies in the industry. In addition to professional training, New Circle is also passionate about producing free, high-quality, educational content. ",Various skill levels,Varies,Free and fee-based courses,"Android, HTML5, Java, Python, CSS3, Ruby, and more","301 Howard Street, Suite 550",San Francisco,CA,94105,"San Francisco, CA",,,hello@thenewcircle.com,(415) 647-7000,
"Adult learning, in-person",New York Code & Design Academy,http://www.nycda.com/,"The New York Code & Design Academy offers hands-on, intensive courses designed to teach aspiring programmers and designers how to build their own fully functioning websites and mobile apps. Beginning with our Introduction to Web Design & Development, we demystify the languages and processes of web development and democratize the experience of learning to code. Taught by some of New York’s leading industry professionals, our project-based courses introduce students to a collaborative learning environment where they will learn the dominant web languages of HTML, HTML5, CSS, Javascript, and Ruby on Rails.",Adults,Varies,Fee per course,"HTML, CSS, JavaScript, jQuery, Ruby on Rails, PHP",100 E 17th Street,New York,NY,10003,"New York, NY",,,info@nycda.com,(212) 951-0935,2012
Online learning,NodeSchool,http://nodeschool.io/,"nodeschool.io is a community driven, open source educational software that teaches various node.js and JavaScript skills in an interactive, self-guided format.  Their website has choose-your-own-adventure style lessons where you can learn how to use node.js, npm and other related tools by writing code to solve realistic problems. The lessons run in your terminal and work on Windows, Mac and Linux.",Anyone,Self-paced,Free,node.js,,,,,,,,,,
"Adult learning, youth learning, online, web development, multimedia, certificate",Nonamesite.com's School of Code (SoCo),https://www.nonamesite.com/web/cs-stem/home,Nonamesite.com's School of Code (SoCo) is a product of TopCoder that provides training in game development and coding.,Beginners,Self-paced,Free,"Java, JavaScript, HTML, CSS, C++, Illustrator, Photoshop","TopCoder, Inc.
95 Glastonbury Blvd.",Glastonbury,CT,06033,N/A,,,support@onamesite.com ,(866) TOP-CODE,
"Youth learning, in-person, bootcamps, camps, workshops, competitions, mentors, entrepreneurship, web development, mobile, underrepresented, high school, low-income",NYC Generation Tech (GenTech) Program,http://www.nycgenerationtech.com; http://www.nfte.com/what/programs/new-york-metro/nyc-generation-tech,"NYC Generation Tech (GenTech) infuses design, technology, and mobile app development with lessons on entrepreneurship and lean startup methodologies. In a two-week summer tech-entrepreneurship “bootcamp”, students learn the fundamentals of entrepreneurship; develop basic knowledge of HTML, CSS, and JavaScript; and form teams to develop a mobile app and business plan aimed at improving education or the quality of city life for NYC students. Following the bootcamp, students will continue to develop their coding skills while building out their apps and business plan during weekly classroom sessions and twice-weekly evening mentoring sessions from July-August.  This program is a partnership with Network for Teaching Entrepreneurship (NFTE) and NYC Economic Development Corporation.",High school students eligible for free and reduced lunch or students from schools with more than 50% free and reduced lunch rates,"Summer 2-week bootcamp, 9 fall sessions",Free,"HTML, CSS, and JavaScript",,New York,NY,,"New York, NY",Terry Bowman,,NYCGenerationTech@nfte.com,(212) 232-3333,2012
"Youth learning, in-person, summer, workshops, web development, animation, game development",Ohlone for Kids and Teens,http://www.ohloneforkids.com/,"Ohlone for Kids and Teens offers summer enrichment courses to youth entering grades 4-11. Course topics include Arts/Performing Arts, Language Arts, English, Math, Reading, Lego Robotics/Electronics, Science, Social Studies, SAT/College Preparation. Their computer programming offerings include:
-Customizing Word Press Blogs (HTML, PHP, CSS) 
-Coding Academy (HTML, Javascript, Python, Ruby and Mobile Apps) 
-Intro to Programming (Scratch) 
-Create Your Own Webpage (HTML) 
-Logic & Animation (Alice and Scratch) 
-Creating Computer Games 
-3D Animation and Intermediate Programming (Alice) 
-Advanced Technology Projects",Grades 4-11,Varies,Fee per course,"Alice, HTML, Java, JavaScript, PHP, Scratch, Ruby, Python",43600 Mission Blvd,Fremont,CA,94539,"San Francisco, CA",,,ofk @ohlone.edu,(510) 742-2304,
"Adult learning, in-person, bootcamps",Omaha Code School,http://omahacodeschool.com/,"Omaha Code School promises to turn students from novices to hireable web developers in 12-weeks through 800 hours of hyper-relevant training, creating a portfolio of 2-4 impressive projects, and meeting the industry through field trips, guest speakers, and exclusive job fairs. Students will learn Ruby on Rails, HTML5 & CSS, JavaScript Fundamentals, Test Driven Development, Agile Development, Git and Version Control, pair programming, and career preparation. Upon completion of the program, Omaha Code School will host a demo day, exclusive job fair, and guide graduates through their job search.",Beginners,12 weeks,"$6,000","Ruby on Rails, HTML5, CSS, JavaScript, etc.",,,,,"Omaha, NE",,,learn@omahacodeschool.com,,2013
"Adult learning, online, game development, robotics, computer science, database development, animation, sound, mobile, web development",OnlineCourses.com,http://www.onlinecourses.com/computerscience/,"OnlineCourses.com aggregates the best free and open courseware for students and professionals, all in a conveniently searchable online courseware platform. Search, track, and share progress on over 500 university and college level classes globally. Formerly known as LectureFox.com, the company continues to carefully select and share with you new courses every week. From biology to accounting, foreign languages to science, OnlineCourses.com ensures you get a world-class education from the world's top schools and scholars anytime, anywhere.",Anyone,Self-paced,Free,"Various subjects, various computer languages",,,,,N/A,,,admin@onlinecourses.com,,
"Youth learning, in-person, low-income, summer, camps, game development, afterschool",OpenWorld Learning (OWL),http://www.openworldlearning.org/,"OpenWorld Learning (OWL) supports children’s school success by tapping the power of digital technology and peer teaching to develop leadership and ignite a love of learning. OpenWorld Learning serves approximately 40 students per year per site – currently 600 students annually. Their curriculum is designed to impact the school success of low-income students, and by virtue of the neighborhoods they currently serve, approximately 92% of their students qualify for the federal free and reduced lunch program. Despite this population at high risk for school failure and dropout, greater than 90% of the 4,125 children we have served since inception have made dramatic gains in computer skills. ",Grades 3-8,,fee per camp,"Microworlds/logo, Scratch",360 Acoma St Suite 102,Denver,CO,80223,"Denver, CO",,,info@openworldlearning.org,(303) 832-0066,2000
"Adult learning, online",OverAPI.com,http://overapi.com/,'Cheat sheet' resource that links to educational materials for code in various coding languages.,Various skill levels,Self-paced,Free,Various,,,,,N/A,,,,,
"Youth learning, Black, Hispanic, collaborative, curriculum, computer science, teacher development, web development, mobile",Partnership for Early Engagement in Computer Science (PEECS),http://www.scs.howard.edu/research/PEECS,"The Partnership for Early Engagement in Computer Science (PEECS) is a partnership between the Howard University Department of Systems and Computer Science, the Howard University Department of Curriculum and Instruction, the Howard University Middle School of Math and Science (MS)2, and Google. The program is designed to increase the K-12 computer science pipeline through the creation of a full, academic curriculum that teaches African-American and Hispanic middle students core computer science fundamentals, including but not limited to: Problem-solving and logic, Algorithm development, Computational thinking, and Programming. PEECS serves as a laboratory to conduct rigourous research in Computer Science Education. Both summative and formative evaluations and assessments are conducted by WestEd to add to the body of knowledge on how to best prepare and deliver computer science pedagogy to underepresented groups (i.e. in particular African-American and Hispanics).",K-12,,,"Human-Computer Interaction, Problem Solving, Web Design, Programming, Computing and Data Analysis, Mobile Application Development",,,,,"Washington, DC",Dr. Nicki Washington,,info@scs.howard.edu,(202) 806-6595,
"Adult learning, online, new",Path2Code,http://path2code-2.kickoffpages.com/,"Path2Code plans to provide an online platform to teach coding skills and connect students to jobs.  No programming has been held as of September, 2013. Video highlighing Path2Code model - http://www.youtube.com/watch?v=D5MUhzmQIgg",,,,,,,,,N/A,,,,,2013
"Adult learning, in-person, bootcamp, apprenticeship, programming, python, entrepreneurship, web development, Female founder, JavaScript, SQL",PDX Code GUILD,https://pdxcodeguild.com/," PDX Code Guild offers accelerated, hands-on, full-stack developer bootcamps. Class sizes are kept small to allow for individual attention. ",Adults,"Varies, 2 weeks, 12 weeks or 16 weeks","Tuition for the 12 Week Python-Based Developer class is $5,500.  The evening 16 Week Developer class is also $5,500. If you pay in full before the first day of class, you save $1,900, and tuition is only $3,600. If paid by check the discount is $2,000, and tuition is only $3,500. You must bring your own laptop. There are no additional fees.","JavaScript, python, SQL",2626 SW Corbett Ave,Portland,OR,,"Portland, OR",Sheri Dover,Director,Sheri@PDXCodeGuild.com ,,
"Adult learning, online, web development, mobile",PeepCode,https://peepcode.com/,"Now owned by Pluralsight, Peepcode is a Seattle-based company that provides computer training for IT professionals. ",Various skill levels,Self-paced,$199 for unlimited access to all existing screencasts and new releases for one full year.,"Ruby on Rails, JavaScript, Ruby, Play by Play, Unix, RSpec, Deployment, Pdf, Design, Cocoa, iPhone, Node, Databases, Productivity, Git",,,,,N/A,,,peepcode@topfunky.com,,2006
"Adult learning, online, certification, MOOC, web development, game development",Peer 2 Peer University (P2PU) School of Webcraft,https://p2pu.org/en/; https://p2pu.org/en/schools/school-of-webcraft/,"The Peer 2 Peer University (P2PU) is an online community of open study groups for short university-level courses. Think of it as online book clubs for open educational resources. The P2PU helps you navigate the wealth of open education materials that are out there, creates small groups of motivated learners, and supports the design and facilitation of courses. Students and tutors get recognition for their work, and the group is building pathways to formal credit as well.  Courses include topics on almost anything, including web development and game development.",Adults,Self-paced,Free,,,,,,N/A,,, thepeople@p2pu.org,,
